"","supplier","SICCode.SicText_1"
"140029","BOLTERS CORNER NURSING HOME TOTAL BRIGHTERKIND",NA
"140031","BROCKWOOD MEDICAL PRACTICE",NA
"140042","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",NA
"140068","GP HEALTH PARTNERS LTD TOTAL GRANGE NURSING HOME (THE) WEYBRIDGE",NA
"140069","GRANGE NURSING HOME (THE) WEYBRIDGE TOTAL GRANGE RETIREMENT HOME",NA
"140070","NHS SOUTH EASTERN HAMPSHIRE CCG",NA
"140090","KINGSTON HOSPITAL NHS FOUNDATION TRUST TOTAL LEITH HILL PRACTICE",NA
"140096","LIFE STYLE CARE PLC TOTAL MALHOTRA CARE HOMES LTD",NA
"140097","MALHOTRA CARE HOMES LTD TOTAL MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST",NA
"140146","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST",NA
"140148","OAKLEY HEALTH GROUP",NA
"140149","SURREY HEALTHY CHILDREN & FAMILIES LLP TOTAL SURREY MEDICAL NETWORK LTD",NA
"140150","NHS BEDFORDSHIRE CCG",NA
"140151","SURREY MEDICAL NETWORK LTD TOTAL TRAVERSE LTD",NA
"140154","WESTCOTT HOUSE",NA
"140164","ASHFORD & ST PETERS HOSPITALS NHSFT TOTAL ASHLEA MEDICAL PRACTICE",NA
"140165","ASHLEA MEDICAL PRACTICE TOTAL ASHTEAD HOSPITAL",NA
"140176","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST TOTAL BROCKWOOD MEDICAL PRACTICE",NA
"140191","BUPA CARE HOMES TOTAL CAMBERLEY MANOR CARE HOME",NA
"140192","CAMBERLEY MANOR CARE HOME TOTAL CARE UK CLINICAL SERVICES LTD",NA
"140200","CARING HOMES HEALTHCARE GROUP LTD TOTAL CENTRAL SURREY HEALTH LTD",NA
"140203","CENTRAL SURREY HEALTH LTD TOTAL CHD LIVING",NA
"140228","GLEBE CARE LTD TOTAL GLENLYN MEDICAL CENTRE",NA
"140231","GOLDEN MANOR HEALTHCARE (EALING) LTD TOTAL GP HEALTH PARTNERS LTD",NA
"140236","GRANGE RETIREMENT HOME TOTAL GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST",NA
"140239","PATHOLOGY PARTNERSHIP",NA
"140247","NHS FAREHAM AND GOSPORT CCG",NA
"140259","LIFE STYLE CARE PLC TOTAL LIFEWAYS INCLUSIVE LIFESTYLES LTD",NA
"140260","LIFEWAYS INCLUSIVE LIFESTYLES LTD TOTAL LIGHTHOUSE HEALTHCARE",NA
"140261","LIGHTHOUSE HEALTHCARE TOTAL MALHOTRA CARE HOMES LTD",NA
"140262","RICHMOND FELLOWSHIP",NA
"140266","MARIA MALLABAND CARE GROUP TOTAL MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST",NA
"140274","NHS NEL CSU",NA
"140275","NHS NEL CSU TOTAL NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",NA
"140286","ROYAL ALFRED SEAFARERS SOCIETY TOTAL ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST",NA
"140287","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST TOTAL ROYAL FREE LONDON NHS FOUNDATION TRUST",NA
"140288","HURLEY INNOVATIONS LTD",NA
"140290","ROYAL MARSDEN NHS FOUNDATION TRUST (THE) TOTAL ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST",NA
"140291","FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST",NA
"140309","SURREY & BORDERS PARTNERSHIP NHS FOUNDATION TRUST TOTAL SURREY AND SUSSEX HEALTHCARE NHS TRUST",NA
"140316","LONDON NORTH WEST HEALTHCARE NHS TRUST",NA
"140318","LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST",NA
"140319","SUSSEX COMMUNITY NHS FOUNDATION TRUST TOTAL UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",NA
"140330","NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST",NA
"140331","PRIORY CLINIC NOTTINGHAM",NA
"140354","CHD LIVING TOTAL CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",NA
"140358","LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST",NA
"140360","DORKING MEDICAL PRACTICE",NA
"140367","EYHURST COURT LTD TOTAL FOREST CARE HOLLY LODGE",NA
"140376","GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST TOTAL HUNTINGTON HOUSE NURSING HOME",NA
"140411","MID ESSEX HOSPITALS SERVICES NHS TRUST",NA
"140426","PRIVATE PUBLIC LTD TOTAL QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST",NA
"140436","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST TOTAL SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST",NA
"140440","ST CLOUD CARE PLC TOTAL ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",NA
"140441","ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST TOTAL SUNBURY NURSING HOMES LTD",NA
"140442","SUNBURY NURSING HOMES LTD TOTAL SURREY & BORDERS PARTNERSHIP NHS FOUNDATION TRUST",NA
"140479","TOTAL CHURCH VIEW CARE HOME",NA
"140520","CPTPC",NA
"140524","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST TOTAL ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",NA
"140533","NHS SOUTH CENTRAL AND WEST COMMISSIONING SUPPORT GROUP",NA
"140560","ACORN COURT TOTAL ALPHA CARE (CATERHAM) LTD",NA
"140571","BARCHESTER HEALTHCARE LTD TOTAL BARTS HEALTH NHS TRUST",NA
"140596","FRIMLEY HEALTH NHS FOUNDATION TRUST TOTAL GLENLYN MEDICAL CENTRE",NA
"140597","GLENLYN MEDICAL CENTRE TOTAL GRANGE NURSING HOME (THE) WEYBRIDGE",NA
"140600","NHS SURREY HEATH CCG",NA
"140605","BRACKNELL FOREST COUNCIL",NA
"140608","KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST TOTAL KINGS LODGE",NA
"140609","KINGS LODGE TOTAL KINGSTON HOSPITAL NHS FOUNDATION TRUST",NA
"140612","LEITH HILL PRACTICE TOTAL LEONARD CHESHIRE DISABILITY",NA
"140631","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST TOTAL ROYAL HOSPITAL FOR NEURO DISABILITY",NA
"140633","ROYAL MARSDEN NHS FOUNDATION TRUST (THE) TOTAL ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",NA
"140637","SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST TOTAL ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",NA
"140663","WHITEPOST HEALTH CARE GROUP TOTAL WOKING HOSPICE",NA
"140677","SPRING HOUSE MEDICAL CENTRE",NA
"140678","STANHOPE SURGERY",NA
"140681","DORKING HEALTHCARE LLP",NA
"140691","EPSOM DAY SURGERY UNIT LTD",NA
"140723","ODGERS INTERIM",NA
"140727","ROYAL MARSDEN NHS FOUNDATION TRUST (THE)",NA
"140733","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",NA
"140734","ST GEORGES HEALTHCARE NHS TRUST",NA
"140760","CENTRAL SURREY HEALTH LTD TOTAL CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",NA
"140765","COBHAM DAY SURGERY LTD TOTAL CROYDON HEALTH SERVICES NHS TRUST",NA
"140766","CROYDON HEALTH SERVICES NHS TRUST TOTAL DAC BEACHCROFT LLP",NA
"140767","DAC BEACHCROFT LLP TOTAL DORKING HEALTHCARE LTD",NA
"140782","GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST TOTAL HOLY CROSS HOSPITAL",NA
"140785","HOLY CROSS HOSPITAL TOTAL IMPERIAL COLLEGE HEALTHCARE NHS TRUST",NA
"140795","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST",NA
"140829","SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST TOTAL ST GEORGES HEALTHCARE NHS TRUST",NA
"140851","DST OUTPUT LTD",NA
"140855","ASSURA HAMPSHIRE HEALTH LLP",NA
"140864","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST",NA
"140869","FAIRHOME CARE GROUP T/A VISTA HEALTHCARE",NA
"140882","CARE UK CLINICAL SERVICES LTD TOTAL CARE UK COMMUNITY PARTNERSHIPS LTD",NA
"140894","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST TOTAL CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",NA
"140895","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST TOTAL CHILDRENS TRUST",NA
"140921","PINELODGE CARE HOME",NA
"140924","GOLDEN MANOR LTD IN ADMINISTRATION TOTAL GP HEALTH PARTNERS LTD",NA
"140926","GRANGE NURSING HOME (THE) WEYBRIDGE TOTAL GRANGE NURSING HOME (THE) WEYBRIDGE",NA
"140933","HOLY CROSS HOSPITAL TOTAL HOLY CROSS HOSPITAL",NA
"140935","ROYAL FREE LONDON NHS FOUNDATION TRUST",NA
"140975","NHS SOUTH EAST CSU TOTAL OAKHURST COURT LTD",NA
"141001","SWINDON BOROUGH COUNCIL",NA
"141002","SURREY & BORDERS PARTNERSHIP NHS FOUNDATION TRUST TOTAL SURREY & BORDERS PARTNERSHIP NHS FOUNDATION TRUST",NA
"141024","ASHCROFT CARE SERVICES TOTAL ASHFORD & ST PETERS HOSPITALS NHSFT",NA
"141049","CAMBIAN LEARNING DISABILITIES LTD",NA
"141073","DR TF GUILDER TOTAL EASTCROFT",NA
"141076","EPSOM & ST HELIER UNIVERSITY HOSPITALS NHS TRUST",NA
"141081","EPSOMEDICAL LTD TOTAL EYHURST COURT LTD",NA
"141084","FOREST CARE CEDAR LODGE",NA
"141087","PEARTREE SURGERY",NA
"141101","IESO DIGITAL HEALTH LTD TOTAL IMPERIAL COLLEGE HEALTHCARE NHS TRUST",NA
"141103","INTEGRATED CARE PARTNERSHIP",NA
"141114","LEITH HILL PRACTICE TOTAL LIAISE LODDON LTD",NA
"141128","PARKSIDE NURSING HOME TOTAL QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST",NA
"141129","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST TOTAL ROYAL ALFRED SEAFARERS SOCIETY",NA
"141161","SURREY AND SUSSEX HEALTHCARE NHS TRUST TOTAL SURREY CHOICES",NA
"141162","SURREY CHOICES TOTAL SURREY COUNTY COUNCIL",NA
"141165","SURREY COUNTY COUNCIL TOTAL SURREY MEDICAL NETWORK LTD",NA
"141167","CHURCH STREET SURGERY BISHOPS STORT",NA
"141176","OAKLANDS PRACTICE",NA
"141189","CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST",NA
"141191","YOUNG EPILEPSY",NA
"141205","VIRGIN CARE",NA
"141217","CAREBASE (CLAREMONT) LTD TOTAL CAS LEARNING DISABILITIES LTD",NA
"141231","CHILDRENS TRUST TOTAL CLAREMONT CARE SERVICES LTD",NA
"141235","DORKING MEDICAL PRACTICE TOTAL DR TF GUILDER",NA
"141253","INTEGRATED CARE PARTNERSHIP TOTAL JLD ASSOCIATES LTD",NA
"141259","LEITH HILL PRACTICE",NA
"141262","LIAISE LODDON LTD TOTAL LIFE STYLE CARE PLC",NA
"141263","LIFE STYLE CARE PLC TOTAL MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST",NA
"141265","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST TOTAL NELLSAR LTD",NA
"141266","NELLSAR LTD TOTAL NHS CROYDON CCG",NA
"141267","NHS CROYDON CCG",NA
"141280","NHS NEL CSU TOTAL NHS PROPERTY SERVICES LTD",NA
"141285","DR WILKINS & PARTNERS",NA
"141300","WRAFTON HOUSE",NA
"141301","OAKVIEW ESTATES LTD TOTAL OLDERCARE (HASLEMERE) LTD",NA
"141325","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",NA
"141334","SURREY COUNTY COUNCIL TOTAL SURREY HEALTHY CHILDREN & FAMILIES LLP",NA
"141342","WESTCOTT HOUSE TOTAL WHITELEY HOMES TRUST (THE)",NA
"141343","WHITELEY HOMES TRUST (THE) TOTAL WRAY COMMON NURSING & RESIDENTIAL HOME",NA
"141365","TAYSIDE NHS BOARD",NA
"141367","EPSOM & ST HELIER UNIVERSITY HOSPITALS NHS  TRUST",NA
"141369","TRUST TOTAL GLENLYN MEDICAL CENTRE",NA
"141370","GLENLYN MEDICAL CENTRE TOTAL GOLDEN MANOR LTD IN ADMINISTRATION",NA
"141372","HOLY CROSS HOSPITAL TOTAL HUNTINGTON HOUSE NURSING HOME",NA
"141373","HUNTINGTON HOUSE NURSING HOME TOTAL IMPERIAL COLLEGE HEALTHCARE NHS TRUST",NA
"141374","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",NA
"141375","INCLUSIVE LIFESTYLES LTD TOTAL INTEGRATED CARE PARTNERSHIP",NA
"141376","INTEGRATED CARE PARTNERSHIP TOTAL JUNIPER SOLUTION LONDON LTD",NA
"141377","TRUST TOTAL KINGSTON HOSPITAL NHS TRUST",NA
"141378","KINGSTON HOSPITAL NHS TRUST TOTAL LEITH HILL PRACTICE",NA
"141380","LEITH HILL PRACTICE TOTAL LONGCROFT SURGERY",NA
"141382","OAKVIEW ESTATES LTD TOTAL PRINCESS ALICE HOSPICE",NA
"141383","TRUST TOTAL ROYAL MARSDEN NHS FOUNDATION TRUST (THE)",NA
"141384","FOUNDATION TRUST",NA
"141385","ROYAL SURREY COUNTY HOSPITAL NHS  FOUNDATION TRUST",NA
"141386","FOUNDATION TRUST TOTAL SAFFRONLAND HOMES",NA
"141388","SOUTH EAST COAST AMBULANCE SERVICE NHS  FOUNDATION TRUST",NA
"141390","FOUNDATION TRUST TOTAL ST CLOUD CARE PLC",NA
"141391","ST CLOUD CARE PLC TOTAL ST GEORGES HEALTHCARE NHS TRUST",NA
"141392","ST GEORGES HEALTHCARE NHS TRUST TOTAL ST MAGNUS HOUSE LTD",NA
"141393","ST MAGNUS HOUSE LTD TOTAL SUNBURY NURSING HOMES LTD",NA
"141395","SURREY & BORDERS PARTNERSHIP NHS  FOUNDATION TRUST",NA
"141399","FOUNDATION TRUST TOTAL SURREY AND SUSSEX HEALTHCARE NHS TRUST",NA
"141404","FOUNDATION TRUST TOTAL WHITELEY HOMES TRUST (THE)",NA
"141406","MUCH HADHAM HLTH CNTRE",NA
"141411","ORFORD LODGE",NA
"141412","ASHCROFT CARE SERVICES TOTAL ASHFORD & ST PETERS HOSPITALS",NA
"141413","PARK GREEN SURGERY BROXBOURNE",NA
"141414","PARSONAGE SURGERY",NA
"141415","PEARTREE GROUP PRACTICE",NA
"141416","BOLTERS CORNER NURSING HOME",NA
"141439","LINCS COMMUNITY HEALTH SERVICES NHS TRUST",NA
"141442","DOUBLE EDGE PROFESSIONAL SERVICES",NA
"141463","DR BUFFEY",NA
"141465","MOORFIELDS EYE HOSPITAL NHS",NA
"141467","ASHWELL SURGERY",NA
"141469","NHS EAST SURREY CCG TOTAL NHS NORTH WEST SURREY CCG",NA
"141475","ROYAL BROMPTON & HAREFIELD NHS",NA
"141492","BUNTINGFORD MEDICAL CENTRE",NA
"141511","DR TF GUILDER",NA
"141513","ONEHEALTH GROUP",NA
"141514","EPSOMEDICAL LTD TOTAL FIRCROFT SERVICES LTD",NA
"141517","WAVERLEY BOROUGH COUNCIL",NA
"141524","TOTAL KINGSTON HOSPITAL NHS FOUNDATION TRUST",NA
"141530","LEITH HILL PRACTICE TOTAL LIFEWAYS INCLUSIVE LIFESTYLES LTD",NA
"141531","LIFEWAYS INCLUSIVE LIFESTYLES LTD TOTAL LONDON BOROUGH OF BROMLEY",NA
"141532","LONDON BOROUGH OF BROMLEY TOTAL MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST",NA
"141533","TOTAL NERA UK LTD",NA
"141534","NERA UK LTD TOTAL NHS NORTH WEST SURREY CCG",NA
"141535","NHS NORTH WEST SURREY CCG TOTAL NHS SOUTH EAST CSU",NA
"141541","TOTAL ROYAL ALFRED SEAFARERS SOCIETY",NA
"141553","SURREY COUNTY COUNCIL TOTAL SURREY MEDICAL NETWORK",NA
"141560","KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST",NA
"141563","ASHLEA MEDICAL PRACTICE TOTAL ASHTON LODGE LTD",NA
"141565","ASHTON LODGE LTD TOTAL ASHTON MANOR CARE HOME LTD",NA
"141566","PA SHAW",NA
"141574","BROCKWOOD MEDICAL PRACTICE TOTAL BROOME PARK NURSING HOME",NA
"141584","TRENT VALLEY SURGERY",NA
"141588","CAREBASE (GUILDFORD) LTD TOTAL CENTRAL SURREY HEALTH LTD",NA
"141602","PINEHILL HOSPITAL",NA
"141603","CHILDRENS TRUST TOTAL CROYDON HEALTH SERVICES NHS TRUST",NA
"141604","CROYDON HEALTH SERVICES NHS TRUST TOTAL CYGNET LEARNING DISABILITIES LTD",NA
"141605","PRINCESS ALEXANDRA HOSPITAL NHS TRUST (THE)",NA
"141610","REGAL CHAMBERS SURGERY",NA
"141621","FRIENDS OF THE ELDERLY TOTAL FRIMLEY HEALTH NHS FOUNDATION TRUST",NA
"141623","FRIMLEY HEALTH NHS FOUNDATION TRUST TOTAL GLEBE CARE LTD",NA
"141625","ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST",NA
"141656","NHS GREATER EAST MIDLANDS CSU",NA
"141692","SHC AUDIOLOGY",NA
"141717","HCPA LTD",NA
"141721","SURREY REST HOMES LTD TOTAL UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",NA
"141734","DR YULE-SMITH & PARTNERS",NA
"141738","BARTS HEALTH NHS TRUST TOTAL BROCKWOOD MEDICAL PRACTICE",NA
"141740","RUSHMOOR BOROUGH COUNCIL",NA
"141741","CARE UK CLINICAL SERVICES LTD TOTAL CENTRAL SURREY HEALTH LTD",NA
"141755","DR TF GUILDER TOTAL EPSOM & ST HELIER UNIVERSITY HOSPITALS NHS TRUST",NA
"141781","NHS NORTH WEST SURREY CCG TOTAL NHS SOUTH LONDON CSU",NA
"141800","SURREY MEDICAL NETWORK TOTAL SURREY REST HOMES LTD",NA
"141813","NHS ARDEN AND GEM CSU",NA
"141815","AMWELL STREET SURGERY",NA
"141818","BARTS HEALTH NHS TRUST TOTAL BOLTERS CORNER NURSING HOME",NA
"141831","CAMBERLEY MANOR CARE HOME TOTAL CARE UK (URGENT CARE) LTD",NA
"141862","DR J J LOWES & PARTNERS TOTAL DR TF GUILDER",NA
"141866","EPSOM & ST HELIER UNIVERSITY HOSPITALS NHS TRUST TOTAL EPSOMEDICAL LTD",NA
"141900","HIGH ST SURGERY",NA
"141947","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST TOTAL WESTCOTT HOUSE",NA
"141950","WRAY COMMON NURSING & RESIDENTIAL HOME",NA
"141962","BROCKWOOD MEDICAL PRACTICE TOTAL BUPA CARE HOMES",NA
"141967","CARE UK COMMUNITY PARTNERSHIPS LTD TOTAL CEDAR COURT CARE HOME",NA
"141978","EPSOM & ST HELIER UNIVERSITY HOSPITALS NHS TRUST TOTAL EPSOM DAY SURGERY UNIT LTD",NA
"141979","EPSOM DAY SURGERY UNIT LTD TOTAL EPSOMEDICAL LTD",NA
"141980","EPSOMEDICAL LTD TOTAL FRIMLEY HEALTH NHS FOUNDATION TRUST",NA
"141986","INTEGRATED CARE PARTNERSHIP TOTAL KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST",NA
"142003","NHS GUILDFORD AND WAVERLEY CCG TOTAL NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG",NA
"142045","SURREY MEDICAL NETWORK TOTAL UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",NA
"142063","NHS SOUTHAMPTON CCG",NA
"142143","DR WM WHITLOW & PARTNERS",NA
"142144","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST",NA
"142145","RODWELL FARM NURSING HOME",NA
"142156","SPRINGFIELD HOUSE NURSING HOME",NA
"142184","ASHTEAD HOSPITAL TOTAL BARCHESTER HEALTHCARE LTD",NA
"142200","CUFFLEY & GOFFS OAK MEDICAL PRACTICE",NA
"142203","COBHAM DAY SURGERY LTD TOTAL DERBY MEDICAL CENTRE",NA
"142212","CAPIO NIGHTINGALE HOSPITAL",NA
"142224","JUNIPER SOLUTION LONDON LTD TOTAL KCA (UK)",NA
"142266","TOTAL WESTERN SUSSEX HOSPITALS NHS TRUST",NA
"142279","DR MA MAGEE & PARTNERS",NA
"142294","PORTMILL SURGERY",NA
"142303","RIVERS HOSPITAL",NA
"142336","HUNTINGTON HOUSE NURSING HOME TOTAL IESO DIGITAL HEALTH LTD",NA
"142444","NHS HORSHAM AND MID SUSSEX CCG",NA
"142450","BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST",NA
"142473","EAST LONDON NHS FOUNDATION TRUST",NA
"142523","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST",NA
"142553","CARE UK MENTAL HEALTH PARTNERSHIPS LTD",NA
"142563","BEDFORD HOSPITAL NHS TRUST",NA
"142564","DRS PAXTON & PORTER",NA
"142575","BARCHESTER HEALTHCARE HOMES LTD TOTAL BARCHESTER HEALTHCARE LTD",NA
"142590","BROOME PARK NURSING HOME",NA
"142598","HEATHERWOOD & WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST",NA
"142599","CARE UK COMMUNITY PARTNERSHIPS LTD TOTAL CAREBASE (CLAREMONT) LTD",NA
"142600","CAREBASE (CLAREMONT) LTD TOTAL CAREBASE (GUILDFORD) LTD",NA
"142612","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST TOTAL CHURCH VIEW CARE HOME",NA
"142620","EYHURST COURT LTD TOTAL FOUR SEASONS HEALTH CARE LTD",NA
"142621","NORTH WEST LONDON HOSPITALS NHS TRUST",NA
"142632","SOUTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST",NA
"142645","KINGSTON HOSPITAL NHS FOUNDATION TRUST TOTAL LEIGHTON HOUSE LTD",NA
"142654","DART",NA
"142669","OLDERCARE (HASLEMERE) LTD TOTAL PARKSIDE NURSING HOME",NA
"142672","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST TOTAL RODWELL FARM NURSING HOME",NA
"142673","RODWELL FARM NURSING HOME TOTAL ROYAL ALFRED SEAFARERS SOCIETY",NA
"142674","ROYAL ALFRED SEAFARERS SOCIETY",NA
"142676","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST TOTAL ROYAL MARSDEN NHS FOUNDATION TRUST (THE)",NA
"142704","VOYAGE CARE TOTAL WESTCOTT HOUSE",NA
"142714","BRITISH RED CROSS SOCIETY",NA
"142746","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST TOTAL CYGNET LEARNING DISABILITIES LTD",NA
"142752","TALKING HEALTH NETWORK LTD",NA
"142782","GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST TOTAL HC ONE LTD",NA
"142783","HC ONE LTD TOTAL HILL DICKINSON LLP",NA
"142786","HOLY CROSS HOSPITAL TOTAL IESO DIGITAL HEALTH LTD",NA
"142801","LEITH HILL PRACTICE TOTAL LEWISHAM & GREENWICH NHS TRUST",NA
"142826","SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST TOTAL ST CLOUD CARE PLC",NA
"142848","SURREY MEDICAL NETWORK LTD TOTAL UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",NA
"142859","BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",NA
"142860","BUPA CARE HOMES TOTAL CARE UK COMMUNITY PARTNERSHIPS LTD",NA
"142863","BEDWELL MEDICAL CENTRE",NA
"142864","BIRCHWOOD SURGERY",NA
"142897","PRINCESS ALICE HOSPICE TOTAL PRIVATE PUBLIC LTD",NA
"142956","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",NA
"143028","SURGERY ASTONIA HOUSE",NA
"143036","ASHLEA MEDICAL PRACTICE",NA
"143080","DORKING MEDICAL PRACTICE TOTAL DR J J LOWES & PARTNERS",NA
"143098","HC ONE LTD TOTAL HOLY CROSS HOSPITAL",NA
"143103","IMPERIAL COLLEGE HEALTHCARE NHS TRUST TOTAL INCLUSIVE LIFESTYLES LTD",NA
"143119","BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",NA
"143120","LIFE STYLE CARE PLC TOTAL MML FINANCE LTD TA KINGSWOOD COURT NURSING HOME",NA
"143124","DR ANSARI & PARTNERS",NA
"143125","DR ASG USHER & PARTNERS",NA
"143129","NHS SOUTH CENTRAL AND WEST COMMISSIONING SUPPORT UNIT TOTAL OLDERCARE (HASLEMERE) LTD",NA
"143130","OLDERCARE (HASLEMERE) LTD TOTAL QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST",NA
"143174","ASHCROFTAA CAREAA SERVICESAA TOTAL ASHFORDAA &AA STAA PETERSAA HOSPITALSAA NHSFT",NA
"143175","ASHTEADAA HOSPITAL",NA
"143203","BUPAAA CAREAA HOMESAA TOTAL CAREAA UKAA CLINICALAA SERVICESAA LTD",NA
"143205","CAREAA UKAA CLINICALAA SERVICESAA LTDAA TOTAL CAREBASEAA (CLAREMONT)AA LTD",NA
"143214","CHILDRENSAA TRUSTAA TOTAL CHURCHAA VIEWAA CAREAA HOME",NA
"143215","CHURCHAA VIEWAA CAREAA HOME",NA
"143229","EYHURSTAA COURTAA LTDAA TOTAL FACULTYAA OFAA MEDICALAA LEADERSHIPAA &AA MANAGEMENT",NA
"143247","KING`SAA COLLEGEAA HOSPITALAA NHSAA FOUNDATIONAA TRUSTAA TOTAL KINGSAA LODGE",NA
"143251","KINGSTONAA HOSPITALAA NHSAA FOUNDATIONAA TRUST",NA
"143254","LEITHAA HILLAA PRACTICEAA TOTAL LEONARDAA CHESHIREAA DISABILITY",NA
"143260","DOLPHIN HOUSE SURGERY",NA
"143263","LONGCROFTAA SURGERY",NA
"143264","LONGCROFTAA SURGERYAA TOTAL MOORFIELDSAA EYEAA HOSPITALAA NHSAA FOUNDATIONAA TRUST",NA
"143289","ROYALAA NATIONALAA ORTHOPAEDICAA HOSPITALAA NHSAA TRUSTAA TOTAL ROYALAA SURREYAA COUNTYAA HOSPITALAA NHSAA FOUNDATIONAA TRUST",NA
"143291","SHCAA AUDIOLOGYAA TOTAL SIGNATUREAA OFAA HINDHEADAA (OPERATIONS)AA LTD",NA
"143308","SURREYAA &AA BORDERSAA PARTNERSHIPAA NHSAA FOUNDATIONAA TRUST",NA
"143336","ASHFORDAA &AA STAA PETERSAA HOSPITALSAA NHSFTAA TOTAL ASHTEADAA HOSPITAL",NA
"143345","BROCKWOODAA MEDICALAA PRACTICE",NA
"143355","BUPAAA CAREAA HOMESAA TOTAL CAMBERLEYAA MANORAA CAREAA HOME",NA
"143356","CAMBERLEYAA MANORAA CAREAA HOME",NA
"143365","CAMBIANAA LEARNINGAA DISABILITIESAA LTD",NA
"143373","CAREAA UKAA CLINICALAA SERVICESAA LTDAA TOTAL CAREAA UKAA COMMUNITYAA PARTNERSHIPSAA LTD",NA
"143374","CAREAA UKAA COMMUNITYAA PARTNERSHIPSAA LTD",NA
