"","CompanyNumber","SICCode.SicText_1"
"98330","07396216","70210 - Public relations and communications activities"
"98331","07397118","86210 - General medical practice activities"
"98336","07398559","63990 - Other information service activities n.e.c."
"98337","07409694","69102 - Solicitors"
"98359","07409722","87900 - Other residential care activities n.e.c."
"98361","07413577","82990 - Other business support service activities n.e.c."
"98384","07415416","86900 - Other human health activities"
"98386","07415648","72110 - Research and experimental development on biotechnology"
"98387","07417290","87100 - Residential nursing care facilities"
"98388","07419975","70229 - Management consultancy activities other than financial management"
"98391","07421416","88990 - Other social work activities without accommodation n.e.c."
"98503","07425139","86900 - Other human health activities"
"98522","07428315","62020 - Information technology consultancy activities"
"98536","07429489","72110 - Research and experimental development on biotechnology"
"98538","07438326","88990 - Other social work activities without accommodation n.e.c."
"98539","07441522","86900 - Other human health activities"
"98547","07442847","86210 - General medical practice activities"
"98556","07445484","87300 - Residential care activities for the elderly and disabled"
"98563","07446940","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"98573","07450536","86210 - General medical practice activities"
"98603","07456185","86220 - Specialists medical practice activities"
"98607","07459713","96090 - Other service activities n.e.c."
"98608","07461613","85590 - Other education n.e.c."
"98610","07463849","88990 - Other social work activities without accommodation n.e.c."
"98611","07467134","78200 - Temporary employment agency activities"
"98620","07470273","86210 - General medical practice activities"
"98635","07470626","88990 - Other social work activities without accommodation n.e.c."
"98636","07470837","69102 - Solicitors"
"98637","07472997","86102 - Medical nursing home activities"
"98684","07475371","87300 - Residential care activities for the elderly and disabled"
"98685","07476005","74909 - Other professional, scientific and technical activities n.e.c."
"98686","07477814","86900 - Other human health activities"
"98711","07478199","96090 - Other service activities n.e.c."
"98717","07479930","86900 - Other human health activities"
"98748","07485521","86101 - Hospital activities"
"98761","07486948","70229 - Management consultancy activities other than financial management"
"98764","07488411","99999 - Dormant Company"
"98775","07491950","99999 - Dormant Company"
"98795","07491954","86220 - Specialists medical practice activities"
"98796","07493614","64209 - Activities of other holding companies n.e.c."
"98833","07496674","63990 - Other information service activities n.e.c."
"98836","07504966","88990 - Other social work activities without accommodation n.e.c."
"98879","07508659","86210 - General medical practice activities"
"98905","07512308","86220 - Specialists medical practice activities"
"98910","07516020","87100 - Residential nursing care facilities"
"98965","07516089","87900 - Other residential care activities n.e.c."
"98966","07517688","86900 - Other human health activities"
"98974","07518894","86900 - Other human health activities"
"99005","07521348","70229 - Management consultancy activities other than financial management"
